,cnt,joYear,country_eng_nm,country_iso_alp2,currency_unit,export_amount,gdp,gdp_desc,gdp_growth_rate,gdp_growth_rate_desc,gdp_per_capita,gdp_per_capita_desc,import_amount,inflation_rate,inflation_rate_desc,main_resource,major_industry,unemployment_desc,unemployment_rate
일본,578,2022,Japan,JP,엔(円·yen),751500000000,4231100000000,"(2022, World Bank)",1.0,"(2022, World Bank)",33815,"(2022, World Bank)",902600000000,2.5,(2022 World Bank),,,(2022 World Bank),2.6
베트남,212,2022,Vietnam,VN,동,360300000000,406450000000,(2022년 기준 IMF),,,4087,(2022년 기준 IMF 추정치),351900000000,3.19,"(2022년 기준, IMF)",,,"(2022년 기준, IMF 추정치)",2.3
중국,169,2022,China,CN,"元(1$ = 약 6.9646元, '22.12. 인민은행)",,17963200000000,(World Bank),3.0,(국가통계국),12720,(World Bank),,3.0,,,"1차 7.3%, 2차 39.9%, 3차 52.8%(국가통계국)",,5.6
싱가포르,158,2022,Singapore,SG,"싱가포르달러(1미국달러 = 1.38 싱가포르달러, 2022 평균, 세계은행)",516000000000,466800000000,"(2022, IMF)",3.6,"(2022, IMF)",82808,"(2022, IMF)",475800000000,6.1,"(2022, IMF)",,,"(2022, IMF)",2.1
말레이시아,134,2022,Malaysia,MY,"링깃(1달러 = 4.4링깃, 2022년 평균, 세계은행)",352300000000,407900000000,"(2022, IMF 추정치)",8.7,"(2022, IMF 추정치)",12634,"(2022, IMF 추정치)",295300000000,3.4,"(2022, IMF 추정치)",,,"(2022, IMF 추정치)",3.8
캐나다,124,2022,Canada,CA,,390100000000,1600000000000,(2020 IMF),,,43280,(2020 IMF),428500000000,,,,,,
독일,117,2022,Germany,DE,,1630000000000,4100000000000,(2022),1.9,(2022),49120,(2022),1510000000000,,,,,(2022),3.1
아랍에미리트,112,2022,United Arab Emirates : UAE,AE,UAE Dirham(AED)/1US$=3.67DH(고정환율),467000000000,589400000000,"(‘22, EIU)",7.3,"(‘22, EIU)",59006,"(‘22, EIU)",295500000000,,,"* ('22)
- 원유매장량 : 978억 배럴(세계 8위, 5.8% 점유)
- 가스매장량 : 7.8조 m³(세계 7위, 4% 점유)",,,
카타르,107,2022,Qatar,QA,"Qatari Riyal($1=QR 3.64)('23, EIU)",100300000000,219500000000,"('23, IMF)",2.4,"('23, IMF)",83890,"('23, IMF)",35000000000,,,"원유매장량(BP) :252억 배럴(세계 14위, 점유율: 1.5%)
가스매장량(BP) :24.7조㎥(세계 3위, 점유율: 13.1%)","석유, 천연가스, 석유화학",,
영국,102,2022,United Kingdom,GB,,459600000000,3131300000000,"(2021, WB)",,,46510,"(2021, WB)",664600000000,,,,,"(2021, WB)",4.5
호주,85,2022,Australia,AU,,533670000000,1007900000000,"(2022, IMF)",,,66410,"(2022, IMF)",373550000000,,,,"1차산업(농업, 광업) 및 3차 산업(금융, 서비스) 비중이 큰 전형적인 선진국형 산업구조
- 제조업 취약",,
인도네시아,75,2022,Indonesia,ID,"루피아(1달러 = 14,850루피아, 2022년 평균, 세계은행)",292300000000,1318800000000,"(2022, IMF)",5.3,"(2022, IMF)",4798,"(2022, IMF)",237200000000,4.2,"(2022, IMF)",,,"(2022, IMF)",5.9
뉴질랜드,52,2022,New Zealand,NZ,,48100000000,245400000000,('22. EIU),2.4,('22. EIU),47198,('22. EIU),55900000000,,,,,('22. EIU),3.3
태국,35,2022,Thailand,TH,바트,283500000000,536100000000,"(2022, IMF 추정치)",2.6,"(2022, IMF 추정치)",7651,"(2022, IMF 추정치)",303600000000,6.1,"(2022, IMF)",,,"(2022, IMF 추정치)",1.0
인도,33,2022,India,IN,,291800000000,2950000000000,(2021. IMF),9.0,(2021. IMF),2120,(2021. IMF),394400000000,,,,"석유화학, 제악, 기계, 광산업, 보석가공, IT 산업, 통신, 섬유화학, 자동차, 인프라 건설업 등
- 산업구조 : 서비스업 53.9%, 제조업 25.9%, 농업 20.2%",,
헝가리,32,2022,Hungary,HU,"Forint(1불=339Ft, 2023.5월)",149600000000,195600000000,(2022),4.6,(2022),18980,(2022),158400000000,,,,,(2022),3.6
멕시코,28,2022,Mexico,MX,,578200000000,1414100000000,"(2022, IMF)",3,"(2022, IMF)",10867,"(2022, IMF)",640800000000,,,"원유, 은, 천연가스, 철광석, 커피",,,
캄보디아,23,2022,Cambodia,KH,리엘,23070000000,28500000000,"(2022, IMF 추정치)",5.0,"(2022, IMF 추정치)",1785,"(2022, IMF 추정치)",31850000000,5.3,"(2022, IMF 추정치)",,,,
필리핀,23,2022,Philippines,PH,"페소(1달러 = 54.5 페소, 2022년 평균, 세계은행)",81000000000,404300000000,"(2022, IMF)",7.6,"(2022, IMF)",3623,"(2022, IMF)",142700000000,5.8,"(2022, IMF)",,,"(2022, IMF)",5.4
폴란드,18,2022,Poland,PL,"즈워티(Złoty, PLN)",432440000000,688300000000,(2022. IMF),4.9,(2022. IMF),18280,(2022. IMF),419630000000,14.4,(2022. IMF),,"서비스업(55.6%), 제조업(41.1%), 농업(3.3%)",,
네덜란드,18,2022,Netherlands,NL,,919700000000,1018000000000,"(2021,IMF)",,,58292,"(2021,IMF)",855100000000,,,,,"(2021,IMF)",4.2
러시아,15,2022,Russia,RU,루블(Ruble) / (US $1≒80루블),472929000000,2215200000000,('22 IMF),-2.1,"('22, IMF)",15443,('22IMF),296164000000,13.7,"('22, IMF)","주요자원(’21, BP) : 석유(1,078억배럴, 6위), 가스(37.4조㎥, 1위), 석탄(1,621억톤, 2위), 금(7,500톤, 2위/USGS 기준), 우라늄(486천톤U, 4위/WNA 기준) 등",,"('22, IMF)",3.9
대만,14,2022,Taiwan,TW,,479500000000,780209000000,(2022),2.45,(2022),33565,(2022),427400000000,,,,,,
